MONTHLY COMPARATIVE PRICE DATA,,,,,,,,,,,,
NCR COVERAGE*,,,,,,,,,,,,
,,,,,,,,,,,,
BASIC NECESSITIES (BN),,,,,,,,,,,,
PRODUCT CATEGORY,COMMODITY,BRAND NAME,"SPECIFICATION
(size, unit, weight, height, etc.)","SRP
01 FEB 2025 (ADJUSTED)","MONITORED PREVAILING PRICE, NCR",,,,,,,
,,,,,CURRENT MONTH,A MONTH AGO ,CURRENT VS. A MONTH AGO ,,CURRENT MONTH,THREE MONTHS AGO ,CURRENT VS. THREE MONTHS AGO ,
,,,,,,,,,,,,
,,,,,2025-11-01,OCTOBER,% CHANGE,PHP DIFF.,2025-11-01,2025-08-01,% CHANGE,PHP DIFF.
Canned Sardines in tomato sauce,FAMILY'S Brand Premium Pack Sardines (Easy Open) (Green),Family's,155g,NO SRP,24.25,24.25,0.00%,0,24.25,24.25,0.00%,0
Canned Sardines in tomato sauce,FAMILY'S Budget Pack Plain Sardines (Green),Family's,130g,15.25,,,,,,,,
Canned Sardines in tomato sauce,GOLD CUP Canned Sardines (Green),Gold Cup,155g,NO SRP,20,20.25,-1.23%,-0.25,20,22.5,-11.11%,-2.5
Canned Sardines in tomato sauce,GOLDEN TOWN Canned Sardines - Regular Lid (Green),Golden Town,155g,NO SRP,,,,,,22.45,,
Canned Sardines in tomato sauce,HAKATA Sardines (Easy Open) (Green),Hakata,155g,NO SRP,23.6,23.6,0.00%,0,23.6,23.6,0.00%,0
Canned Sardines in tomato sauce,HAKONE  Premium (Green),Hakone,155g,NO SRP,24,23,4.35%,1,24,22.45,6.90%,1.55
Canned Sardines in tomato sauce,KING Cup  Sardines (Regular Lid) (Green),King Cup,155g,18,,,,,,,,
Canned Sardines in tomato sauce,KING Cup Sardines (Easy Open Can) (Green),King Cup,155g,NO SRP,21.75,21.4,1.64%,0.35,21.75,21.4,1.64%,0.35
Canned Sardines in tomato sauce,LIGO Easy Open Canned Sardines  (Green),Ligo,155g,NO SRP,23.5,23.5,0.00%,0,23.5,23.5,0.00%,0
Canned Sardines in tomato sauce,LUCKY 7 Sardines (Green),Lucky 7,155g,19.65,19.65,19.65,0.00%,0,19.65,18.75,4.80%,0.9
Canned Sardines in tomato sauce,MARIKO Sardines Regular Lid (Green),Mariko,155g,19.75,,19.75,,,,21.45,,
Canned Sardines in tomato sauce,MASTER Premium Sardines (Green),Master,155g,NO SRP,25,25.75,-2.91%,-0.75,25,,,
Canned Sardines in tomato sauce,MASTER Sardines Bonus Pack (Easy-Open) (Green),Master,155g,NO SRP,24.5,24.5,0.00%,0,24.5,24.5,0.00%,0
Canned Sardines in tomato sauce,MEGA Sardines (Easy Open Can) (Green),Mega,155g,NO SRP,23.75,23.75,0.00%,0,23.75,23.75,0.00%,0
Canned Sardines in tomato sauce,MIKADO Sardines Easy-Open-Can (Green),Mikado,155g,21.25,,,,,,21.25,,
Canned Sardines in tomato sauce,MIKADO Sardines Regular Lid (Green),Mikado,155g,20.5,20.5,20.5,0.00%,0,20.5,20.5,0.00%,0
Canned Sardines in tomato sauce,MIKO Sardines (Green),Miko,155g,NO SRP,,,,,,,,
Canned Sardines in tomato sauce,MORJON Sardines (Green),Morjon,155g,NO SRP,,,,,,,,
Canned Sardines in tomato sauce,PARADISO Sardines (EOC) (Green),Paradiso,155g,NO SRP,,,,,,27.75,,
Canned Sardines in tomato sauce,ROSE BOWL Sardines - Luzon/Viz/Min (Green),Rose Bowl,155g,NO SRP,,,,,,,,
Canned Sardines in tomato sauce,ROSE BOWL Sardines - NCR (Green),Rose Bowl,155g,NO SRP,25.25,26,-2.88%,-0.75,25.25,25,1.00%,0.25
Canned Sardines in tomato sauce,SABA Philippine Sardines - Luzon/Viz/Min (Green),Saba Philippines,155g,17.5,,,,,,,,
Canned Sardines in tomato sauce,SABA Philippine Sardines - NCR (Green),Saba Philippines,155g,17.25,,,,,,,,
Canned Sardines in tomato sauce,SALLENAS Sardines Regular Lid (Green),Sallenas Sardines,155g,18.5,,,,,,,,
Canned Sardines in tomato sauce,SEA POINT Canned Sardines (Easy Open Can) (Green),Sea Point,155g,NO SRP,20.75,20.75,0.00%,0,20.75,20.75,0.00%,0
Canned Sardines in tomato sauce,SE�ORITA  Sardines EOC (Green),Se�orita,155g,NO SRP,25,25,0.00%,0,25,25,0.00%,0
Canned Sardines in tomato sauce,SM BONUS Sardines (Green),SM Bonus,155g,NO SRP,22.95,22.95,0.00%,0,22.95,22.95,0.00%,0
Canned Sardines in tomato sauce,SWAN Easy Open Canned Sardines  (Green),Swan,155g,NO SRP,22.8,24,-5.00%,-1.2,22.8,23.2,-1.72%,-0.4
Canned Sardines in tomato sauce,TOYO Canned Sardines - Regular Lid (Green),Toyo,130g,NO SRP,,,,,,,,
Canned Sardines in tomato sauce,TOYO BONUS Canned Sardines Easy-Open-Can (Green),Toyo,155g,19.5,,,,,,,,
Canned Sardines in tomato sauce,TOYO BONUS Sardines Regular Lid (Green),Toyo,155g,18.7,,,,,,,,
Canned Sardines in tomato sauce,UNI-PAK Premium Sardines (Easy Open) (Green),Uni-Pak,155g,NO SRP,23.5,23.5,0.00%,0,23.5,23.5,0.00%,0
Canned Sardines in tomato sauce,VINTA Canned Sardines (Easy Open Can) (Green),Vinta,155g,NO SRP,24.75,25.3,-2.17%,-0.55,24.75,,,
Canned Sardines in tomato sauce,YOUNG'S TOWN Premium (Easy Open Can) Sardines (Green),Young's Town,155g,NO SRP,23.25,22.8,1.97%,0.45,23.25,22.5,3.33%,0.75
Coffee,GREAT TASTE Granules Strong  (Concentrated Coffee Powder),Great Taste,25g,NO SRP,26.25,26.25,0.00%,0,26.25,24,9.38%,2.25
Coffee,GREAT TASTE Granules Strong  (Concentrated Coffee Powder),Great Taste,50g,NO SRP,53.25,51.25,3.90%,2,53.25,47.5,12.11%,5.75
Coffee,GREAT TASTE Granules Strong  (Concentrated Coffee Powder),Great Taste,100g,NO SRP,107,101.25,5.68%,5.75,107,95.5,12.04%,11.5
Coffee,GREAT TASTE Premium Classic (Coffee Powder),Great Taste,25g,NO SRP,26.5,26.1,1.53%,0.4,26.5,24.25,9.28%,2.25
Coffee,GREAT TASTE Premium Classic (Coffee Powder),Great Taste,50g,NO SRP,51.55,50,3.10%,1.55,51.55,46.25,11.46%,5.3
Coffee,GREAT TASTE Premium Classic (Coffee Powder),Great Taste,100g,NO SRP,106,99.1,6.96%,6.9,106,90.75,16.80%,15.25
Coffee,KOPI JUAN Klasiko,Kopi Juan,50g,NO SRP,34.75,34.75,0.00%,0,34.75,33,5.30%,1.75
Coffee,NESCAFE Classic,Nescafe,23g,NO SRP,,,,,,26.5,,
Coffee,NESCAFE Classic,Nescafe,46g,NO SRP,,,,,,53,,
Coffee,NESCAFE Classic,Nescafe,92g,NO SRP,,,,,,105.05,,
Coffee ,BLEND 45 (Soluble Coffee),Blend 45,25g,NO SRP,22.5,22.5,0.00%,0,22.5,22.5,0.00%,0
Coffee ,BLEND 45 (Soluble Coffee),Blend 45,100g,NO SRP,85,85,0.00%,0,85,82.5,3.03%,2.5
Coffee  ,CAFE PURO (100% Pure Instant Coffee),Cafe Puro,25g,NO SRP,26.25,26.25,0.00%,0,26.25,26.25,0.00%,0
Coffee  ,CAFE PURO (100% Pure Instant Coffee),Cafe Puro,50g,NO SRP,53.3,52.25,2.01%,1.05,53.3,53.3,0.00%,0
Coffee  ,CAFE PURO (100% Pure Instant Coffee),Cafe Puro,100g,NO SRP,117.35,101.85,15.22%,15.5,117.35,101.85,15.22%,15.5
Coffee 3-in-1 ,BLEND 45  3-in-1 Coffee Mix,Blend 45,18g,4.5,4.95,5.5,-10.00%,-0.55,4.95,5.5,-10.00%,-0.55
Coffee 3-in-1 ,CAFE PURO 3-in-1 Instant Coffee Mix,Cafe Puro,17g,4.7,,,,,,,,
Coffee 3-in-1 ,GREAT TASTE Original 3-in-1 Coffee Mix - Twin Pack,Great Taste,33g,8.25,9.5,10,-5.00%,-0.5,9.5,9.05,4.97%,0.45
Coffee 3-in-1,KOPI JUAN Black Coffee 3-in-1,Kopi Juan,25g,NO SRP,,5,,,,5,,
Coffee 3-in-1,KOPIKO Black Coffee 3-in-1 Original,Kopiko,30g,8.5,8.5,8.5,0.00%,0,8.5,8.5,0.00%,0
Coffee 3-in-1,KOPIKO BLANCA ,Kopiko,30g,NO SRP,10.25,9,13.89%,1.25,10.25,9.25,10.81%,1
Coffee 3-in-1,KOPIKO L.A. Coffee,Kopiko,25g,NO SRP,8.5,8.5,0.00%,0,8.5,8.5,0.00%,0
Coffee 3-in-1,BLEND 45 - Condensada,Blend 45,20g,NO SRP,5.75,5.85,-1.71%,-0.1,5.75,6.25,-8.00%,-0.5
Coffee 3-in-1,BLEND 45 - Malunggay Coffee Mix,Blend 45,52g,NO SRP,12.75,12.75,0.00%,0,12.75,12.75,0.00%,0
Coffee 3-in-1,NESCAFE Original 3-in-1,Nescafe,20g,7.75,7.75,7.75,0.00%,0,7.75,7.75,0.00%,0
Coffee 3-in-1,NESCAFE Original 3-in-1,Nescafe,26g,7.75,,,,,,7.75,,
Coffee 3-in-1 ,SAN MIG Super Coffee 3-in-1 Original ,San Mig,20g,7,6.5,6.5,0.00%,0,6.5,6.5,0.00%,0
Instant Noodles ,HO-MI Instant Mami Noodles - Beef Brisket,Ho-Mi,55g,8.5,8.5,8.5,0.00%,0,8.5,8.5,0.00%,0
Instant Noodles ,HO-MI Instant Mami Noodles - Chicken & Garlic,Ho-Mi,55g,8.5,8.5,8.5,0.00%,0,8.5,8.5,0.00%,0
Instant Noodles ,LUCKY ME! Instant Mami - Beef na Beef,Lucky Me!,55g,8.75,8.75,8.75,0.00%,0,8.75,8.75,0.00%,0
Instant Noodles ,LUCKY ME! Instant Mami - Chicken na Chicken,Lucky Me!,55g,8.75,8.75,8.75,0.00%,0,8.75,8.75,0.00%,0
Instant Noodles ,LUCKY ME! Instant Noodles - Chicken Kasalo,Lucky Me!,100g,NO SRP,16.5,16.5,0.00%,0,16.5,16.5,0.00%,0
Instant Noodles ,LUCKY ME! Instant Noodles - Beef Kasalo,Lucky Me!,100g,NO SRP,16.5,16.5,0.00%,0,16.5,16.5,0.00%,0
Instant Noodles ,NISSIN RAMEN Instant Noodles -  Chicken,Nissin,55g,NO SRP,10.65,10.65,0.00%,0,10.65,10.65,0.00%,0
Instant Noodles ,NISSIN RAMEN Instant Noodles - Beef,Nissin,55g,NO SRP,10.65,10.65,0.00%,0,10.65,10.65,0.00%,0
Instant Noodles ,NISSIN RAMEN Instant Noodles - Seafoods,Nissin,63g,NO SRP,,,,,,,,
Instant Noodles ,NISSIN RAMEN Instant Noodles - Creamy Seafoods,Nissin,63g,NO SRP,13.5,13.5,0.00%,0,13.5,13.5,0.00%,0
Instant Noodles ,PAYLESS Instant Mami - Beef Paborito,Payless,55g,7.5,7.5,7.5,0.00%,0,7.5,7.5,0.00%,0
Instant Noodles ,PAYLESS Instant Mami - Chicken Espesyal,Payless ,55g,7.5,7.5,7.5,0.00%,0,7.5,7.5,0.00%,0
Instant Noodles ,QUICK CHOW Instant Mami Beef,Quick Chow,55g,7.75,7.75,7.75,0.00%,0,7.75,7.75,0.00%,0
Instant Noodles ,QUICK CHOW Instant Mami Chicken,Quick Chow,55g,7.75,7.75,7.75,0.00%,0,7.75,7.75,0.00%,0
Laundry Soap,ARIEL Super Bar (SINGLE CUT),Ariel,125g,NO SRP,15.5,15,3.33%,0.5,15.5,15,3.33%,0.5
Laundry Soap,BARETA Bar Blue - VizMin,Bareta  ,360g,NO SRP,,,,,,,,
Laundry Soap,BARETA Bar Blue - VizMin,Bareta  ,330g,19.75,,,,,,,,
Laundry Soap,BARETA BAR FabCon  - Viz Min,Bareta,360g,NO SRP,,,,,,,,
Laundry Soap,BARETA BAR FabCon  - Viz Min,Bareta,330g,21.25,,,,,,,,
Laundry Soap,BARETA Bar Kalamansi - VizMin,Bareta,360g,NO SRP,,,,,,,,
Laundry Soap,BARETA Bar Kalamansi - VizMin,Bareta,330g,19.75,,,,,,,,
Laundry Soap,BARETA Bar Speckled Blue - VizMin,Bareta,360g,NO SRP,,,,,,,,
Laundry Soap,BARETA Bar Speckled Blue - VizMin,Bareta,330g,19.75,,,,,,,,
Laundry Soap,BARETA Bar White - VizMin,Bareta  ,360g,NO SRP,,,,,,,,
Laundry Soap,BARETA Bar White - VizMin,Bareta  ,330g,19.75,,,,,,,,
Laundry Soap,BONUX Bar Flower Fiesta,Bonux ,380g,21,,,,,,,,
Laundry Soap,BONUX Kalamansi Zest,Bonux,380g,21,,,,,,,,
Laundry Soap,BUDGET Bar Kalamansi  - Luzon,Budget,360g,NO SRP,,,,,,,,
Laundry Soap,BUDGET Bar Kalamansi  - Luzon,Budget,330g,21,18.5,18.5,0.00%,0,18.5,18.5,0.00%,0
Laundry Soap,BUDGET Bar Power Blue - Luzon,Budget,360g,NO SRP,,,,,,,,
Laundry Soap,BUDGET Bar Power Blue - Luzon,Budget,330g,21,19,17.95,5.85%,1.05,19,17.95,5.85%,1.05
Laundry Soap,BUDGET Bar Speckled Blue - Luzon,Budget,360g,NO SRP,,,,,,,,
Laundry Soap,BUDGET Bar Speckled Blue - Luzon,Budget,330g,21,18.7,19.5,-4.10%,-0.8,18.7,17.95,4.18%,0.75
Laundry Soap,BUDGET Bar White Anti Bac - Luzon,Budget,360g,NO SRP,,,,,,,,
Laundry Soap,BUDGET Bar White Anti Bac - Luzon,Budget,330g,21,18.7,18.7,0.00%,0,18.7,18.7,0.00%,0
Laundry Soap,BUDGET Bar with Fabcon - Luzon,Budget,360g,NO SRP,,,,,,,,
Laundry Soap,BUDGET Bar with Fabcon - Luzon,Budget,330g,21,18.5,18.5,0.00%,0,18.5,18.45,0.27%,0.05
Laundry Soap,CALLA  with Fabric conditioner ROSE GARDEN),Calla,370g,NO SRP,24,24,0.00%,0,24,24,0.00%,0
Laundry Soap,CALLA  with Fabric conditioner (FLORAL FRESH),Calla,370g,NO SRP,24,24,0.00%,0,24,24,0.00%,0
Laundry Soap,CALLA  with Fabric conditioner (SUMMER FRESH),Calla,370g,NO SRP,24,24,0.00%,0,24,24,0.00%,0
Laundry Soap,CALLA  with Fabric conditioner (BLUE),Calla,370g,NO SRP,21.75,21.75,0.00%,0,21.75,21.75,0.00%,0
Laundry Soap,CHAMPION Bar Citrus Fresh,Champion,370g,23,23,23,0.00%,0,23,23,0.00%,0
Laundry Soap,CHAMPION Bar Supra Clean Original Scent,Champion,370g,23,23,23,0.00%,0,23,23,0.00%,0
Laundry Soap,CHAMPION Bar Floral Scent,Champion,370g,NO SRP,25,25,0.00%,0,25,25,0.00%,0
Laundry Soap,CHAMPION Bar Antibacterial Sunny Fresh Scent,Champion,370g,NO SRP,25,25,0.00%,0,25,25,0.00%,0
Laundry Soap,CHAMPION Bar Supra Power Blue Original,Champion,370g,NO SRP,22.5,22.5,0.00%,0,22.5,22.5,0.00%,0
Laundry Soap,LABLAST Laundry Detergent Bar,Lablast,390g,NO SRP,20.75,20.75,0.00%,0,20.75,20.75,0.00%,0
Laundry Soap,PERLA Original White ,Perla,380g,NO SRP,54.5,53.5,1.87%,1,54.5,53.5,1.87%,1
Laundry Soap,PRIDE Bar - Antibacterial,Pride,400g,NO SRP,,,,,,,,
Laundry Soap,PRIDE Bar - Fabric Conditioner SAKURA Blossom,Pride,400g,NO SRP,,,,,,,,
Laundry Soap,PRIDE Bar - Fabric Conditioner SUMMER Bloom,Pride,400g,NO SRP,,,,,,,,
Laundry Soap,PRIDE Bar - Kalamansi and Jasmine,Pride,400g,NO SRP,,,,,,,,
Laundry Soap,PRIDE Bar - Linis Tawas,Pride,380g,NO SRP,,,,,,,,
Laundry Soap,PRIDE Bar - Power Blue,Pride,400g,NO SRP,,,,,,,,
Laundry Soap,SPEED  Kalamansi  ,Speed,330g,22.5,21,21,0.00%,0,21,21,0.00%,0
Laundry Soap,SPEED  BAR Kalamansi  VisMin,Speed,360g,NO SRP,,,,,,,,
Laundry Soap,SPEED Bar Kalamansi  Luzon,Speed ,360g,NO SRP,,,,,,,,
Laundry Soap,SPEED Bar Speckled Blue ,Speed ,360g,NO SRP,,,,,,,,
Laundry Soap,SPEED Bar Speckled Blue ,Speed ,330g,22.5,21,21,0.00%,0,21,21,0.00%,0
Laundry Soap,SPEED Bar White ,Speed,360g,NO SRP,,,,,,,,
Laundry Soap,SPEED Bar White ,Speed ,330g,22.5,21,21,0.00%,0,21,21,0.00%,0
Laundry Soap,SPEED Long Bar Blue ,Speed,360g,NO SRP,,,,,,,,
Laundry Soap,SPEED Long Bar Blue,Speed,330g,21.5,21.5,20,7.50%,1.5,21.5,20,7.50%,1.5
Laundry Soap,SULIT Bar Blue - VizMin,Sulit,360g,NO SRP,,,,,,,,
Laundry Soap,SULIT Bar Blue - VizMin,Sulit,330g,19.25,,,,,,,,
Laundry Soap,SULIT Bar Kalamansi - VizMin,Sulit ,360g,NO SRP,,,,,,,,
Laundry Soap,SULIT Bar Kalamansi - VizMin,Sulit ,330g,19.25,,,,,,,,
Laundry Soap,SULIT Bar Speckled Blue - VizMin,Sulit ,360g,NO SRP,,,,,,,,
Laundry Soap,SULIT Bar Speckled Blue - VizMin,Sulit ,330g,19.25,,,,,,,,
Laundry Soap,SULIT Bar White - VizMin,Sulit ,360g,NO SRP,,,,,,,,
Laundry Soap,SULIT Bar White - VizMin,Sulit ,330g,19.25,,,,,,,,
Laundry Soap,SURF Active Clean - Antibacterial - WHITE,Surf,120g,NO SRP,11.5,11.5,0.00%,0,11.5,11.5,0.00%,0
Laundry Soap,SURF Active Clean - Antibacterial - WHITE,Surf,360g,23,22.5,21.55,4.41%,0.95,22.5,25.5,-11.76%,-3
Laundry Soap,SURF Active Clean - Blossom Fresh - PINK,Surf,120g,NO SRP,11.5,11.5,0.00%,0,11.5,11.5,0.00%,0
Laundry Soap,SURF Active Clean - Blossom Fresh - PINK,Surf,360g,NO SRP,28.5,28.5,0.00%,0,28.5,28.5,0.00%,0
Laundry Soap,SURF Active Clean - Kalamansi - GREEN,Surf,120g,NO SRP,10.75,10.75,0.00%,0,10.75,10.75,0.00%,0
Laundry Soap,SURF Active Clean - Kalamansi - GREEN,Surf,360g,23,23,23,0.00%,0,23,23,0.00%,0
Laundry Soap,SURF Active Clean - Power Bula Power Puti - BLUE,Surf,120g,NO SRP,11,,,,11,10.75,2.33%,0.25
Laundry Soap,SURF Active Clean - Power Bula Power Puti - BLUE,Surf,360g,21.75,21.75,21.75,0.00%,0,21.75,21.75,0.00%,0
Laundry Soap,SURF Active Clean - Purple Blossoms - VIOLET,Surf,120g,NO SRP,11.5,11.5,0.00%,0,11.5,11.5,0.00%,0
Laundry Soap,SURF Active Clean - Purple Blossoms - VIOLET,Surf,360g,NO SRP,28.5,28.5,0.00%,0,28.5,28.5,0.00%,0
Laundry Soap,TIDE Taba Bar - Downy Perfume Fantasy (SINGLE CUT),Tide,125g,NO SRP,14,14,0.00%,0,14,14,0.00%,0
Laundry Soap,TIDE Taba Bar - Garden Bloom (SINGLE CUT),Tide,125g,NO SRP,14,14,0.00%,0,14,14,0.00%,0
Laundry Soap,TIDE Taba Bar - Nature Fresh (SINGLE CUT),Tide,125g,NO SRP,15,15,0.00%,0,15,15,0.00%,0
Laundry Soap,TIDE Bar - Downy Perfume Fantasy ,Tide,380g,NO SRP,40,40,0.00%,0,40,42.65,-6.21%,-2.65
Laundry Soap,TIDE Bar - Garden Bloom,Tide,380g,40,38.25,38.25,0.00%,0,38.25,38.25,0.00%,0
Laundry Soap,TIDE Bar - Garden Bloom,Tide,450g,NO SRP,46,46,0.00%,0,46,46,0.00%,0
Laundry Soap,TIDE Bar - Nature Fresh,Tide,380g,NO SRP,40,40,0.00%,0,40,40,0.00%,0
Laundry Soap,TIDE Bar - Nature Fresh,Tide,450g,NO SRP,43.95,46,-4.46%,-2.05,43.95,46,-4.46%,-2.05
Laundry Soap,TIDE Bar Ultra Original Scent,Tide,380g,24,,,,,,24,,
Laundry Soap,TIDE Bar Ultra Original Scent,Tide,450g,NO SRP,46,46,0.00%,0,46,46,0.00%,0
Laundry Soap,TOPS Bar - Royal Blue,Tops,400g,NO SRP,30.75,29.25,5.13%,1.5,30.75,29.25,5.13%,1.5
Laundry Soap,WINGS Bar - Floral Fresh,Wings,370g,NO SRP,22.5,22.5,0.00%,0,22.5,22.5,0.00%,0
Laundry Soap,WINGS Bar - Blooming Garden,Wings,370g,NO SRP,26.5,26,1.92%,0.5,26.5,25.25,4.95%,1.25
Laundry Soap,WINGS Bar - Calamansi ,Wings,370g,NO SRP,23,23,0.00%,0,23,23,0.00%,0
Laundry Soap,WINGS Bar - Sakura Essence,Wings,370g,NO SRP,26,26,0.00%,0,26,26,0.00%,0
Laundry Soap,WINGS Bar - Summer Sunshine,Wings,370g,NO SRP,22.5,22.5,0.00%,0,22.5,22.5,0.00%,0
Processed Milk - Condensada,ALASKA Condensada (Sweetened Condensed Creamer),Alaska,160ml (206g),NO SRP,35,35,0.00%,0,35,35,0.00%,0
Processed Milk - Condensada,ALASKA Condensada (Sweetened Condensed Creamer),Alaska,370g,NO SRP,53.4,53.4,0.00%,0,53.4,53.4,0.00%,0
Processed Milk - Condensada,ALASKA Condensada (Sweetened Condensed Creamer) - Value Pack,Alaska,545g,NO SRP,91.5,86.2,6.15%,5.3,91.5,86,6.40%,5.5
Processed Milk - Condensada,ALASKA Condensada (Sweetened Condensed Creamer) - Sulit Litro Pack,Alaska,1L,NO SRP,,91,,,,,,
Processed Milk - Condensada,ANGEL Condensada Sweetened Condensed Creamer,Angel,380g,NO SRP,53.15,53.15,0.00%,0,53.15,53,0.28%,0.15
Processed Milk - Condensada,BLUE COW Condensada,Blue Cow,300ml,NO SRP,,,,,,,,
Processed Milk - Condensada,CARNATION Condensada ,Carnation,388g,NO SRP,,,,,,,,
Processed Milk - Condensada,CowBell Condensada,Cowbell,300ml,41,,,,,,,,
Processed Milk - Condensada,Dairy Cow Condensada (Sweetened Creamer) ,Dairy,380g,NO SRP,45.25,43,5.23%,2.25,45.25,53,-14.62%,-7.75
Processed Milk - Condensada,DAISY Condensada,Daisy,390g,NO SRP,,48.75,,,,46.2,,
Processed Milk - Condensada,DOREEN Condensada,Doreen,390ml,NO SRP,49.3,49.3,0.00%,0,49.3,49.3,0.00%,0
Processed Milk - Condensada,F&N Sweetened Condensed Creamer Condensada,F & N,390g,NO SRP,44.25,44.25,0.00%,0,44.25,44.25,0.00%,0
Processed Milk - Condensada,F&N Sweetened Condensed Creamer Condensada,F & N,500g,NO SRP,53.2,53.2,0.00%,0,53.2,53.2,0.00%,0
Processed Milk - Condensada,GOOLAIT Sweetened Condensed Creamer,Goolait ,390g,NO SRP,41.5,41.5,0.00%,0,41.5,41.95,-1.07%,-0.45
Processed Milk - Condensada,HEALTHY COW Sweetened Condensed Creamer Condensada,Healthy Cow,390g,NO SRP,39.75,39.75,0.00%,0,39.75,39.75,0.00%,0
Processed Milk - Condensada,JERSEY Condensada,Jersey,390ml,NO SRP,,,,,,,,
Processed Milk - Condensada,JOLLY COW Condensada,Jolly Cow,390ml,NO SRP,,,,,,,,
Processed Milk - Condensada,LIBERTY Condensada (Sweetened Creamer),Liberty ,168ml,34.75,,,,,,,,
Processed Milk - Condensada,LIBERTY Condensada (Sweetened Creamer),Liberty ,300ml,53,,,,,,,,
Processed Milk - Condensada,LIBERTY Condensada (Sweetened Creamer),Liberty ,374g,NO SRP,59.5,59.5,0.00%,0,59.5,59.5,0.00%,0
Processed Milk - Condensada,MARIE Condensada Sweetened Condensed Creamer,Marie,380g,NO SRP,41,41,0.00%,0,41,41,0.00%,0
Processed Milk - Condensada,RELISH Condensada Sweetened Condensed Creamer,Relish,390g,NO SRP,,,,,,,,
Processed Milk - Condensada,TROPICAL DELIGHTS Condensada (Sweetened Condensed Creamer),Tropical Delights ,390g,NO SRP,43.5,43.5,0.00%,0,43.5,43.5,0.00%,0
Processed Milk - Condensed,ALASKA Classic Sweetened Condensed Filled Milk,Alaska,160g,NO SRP,,,,,,,,
Processed Milk - Condensed,ALASKA Classic Sweetened Condensed Filled Milk,Alaska,208g,NO SRP,44.3,44.3,0.00%,0,44.3,44.3,0.00%,0
Processed Milk - Condensed,ALASKA Classic Sweetened Condensed Filled Milk,Alaska,377g,NO SRP,73,70.6,3.40%,2.4,73,73,0.00%,0
Processed Milk - Condensed,ANGEL Condensed Milk,Angel,380g,NO SRP,,,,,,,,
Processed Milk - Condensed,BROOKE FARMS Sweetened Condensed Creamer,Brooke Farms,390g,NO SRP,,,,,,,,
Processed Milk - Condensed,COW BELL Condensarap Sweetened Condensed Creamer,Cow Bell,360g,NO SRP,,,,,,,,
Processed Milk - Condensed,COW BELL Condensarap Sweetened Condensed Creamer,Cow Bell,374g,NO SRP,41,41,0.00%,0,41,41,0.00%,0
Processed Milk - Condensed,JERSEY Sweetened Condensed Creamer,Jersey,390g,44.5,40.75,40.75,0.00%,0,40.75,40.75,0.00%,0
Processed Milk - Condensed,MILKMAID Full Cream (Recombined Sweetened Condensed Milk),Milkmaid ,300ml,NO SRP,,,,,,,,
Processed Milk - Condensed,"NESTLE Carnation Condensada
(Sweetened Condensed Creamer)",Nestle,300ml,NO SRP,69,69,0.00%,0,69,69,0.00%,0
Processed Milk - Evaporada,ALASKA Evaporada (Evaporated Creamer),Alaska,140ml,NO SRP,21.25,19.5,8.97%,1.75,21.25,19.5,8.97%,1.75
Processed Milk - Evaporada,ALASKA Evaporada (Evaporated Creamer),Alaska,360ml,NO SRP,34.75,34.75,0.00%,0,34.75,35,-0.71%,-0.25
Processed Milk - Evaporada,ALASKA Evaporada (Evaporated Creamer) Sulit Litro Pack,Alaska,1L,NO SRP,91,91,0.00%,0,91,91,0.00%,0
Processed Milk - Evaporada,ANGEL Evaporada (Evaporated Liquid Creamer),Angel,140ml,NO SRP,,,,,,,,
Processed Milk - Evaporada,ANGEL Evaporada (Evaporated Liquid Creamer),Angel,365ml,NO SRP,,,,,,,,
Processed Milk - Evaporada,ANGEL Evaporada (Evaporated Liquid Creamer),Angel,410ml,NO SRP,32,32,0.00%,0,32,32,0.00%,0
Processed Milk - Evaporada,COW BELL Evaporada (Evaporated Creamer),Cow Bell,370mL,28.5,,,,,,,,
Processed Milk - Evaporada,F & N Evaporated Creamer Evapoarada,F & N,360ml (380g),NO SRP,37.5,31.6,18.67%,5.9,37.5,31.6,18.67%,5.9
Processed Milk - Evaporada,JERSEY Evaporada,Jersey,370ml,NO SRP,34.95,31,12.74%,3.95,34.95,31.75,10.08%,3.2
Processed Milk - Evaporada,HEALTHY COW Evaporada (Evaporated Creamer),Healthy Cow,370ml,NO SRP,28.75,28.75,0.00%,0,28.75,28.75,0.00%,0
Processed Milk - Evaporada,MARIE Evaporada Evaporated Creamer,Marie,380g,NO SRP,31,31,0.00%,0,31,31,0.00%,0
Processed Milk - Evaporated,ALASKA Classic Evaporated Filled Milk,Alaska,140ml,NO SRP,28.2,28.2,0.00%,0,28.2,28.2,0.00%,0
Processed Milk - Evaporated,ALASKA Classic Evaporated Filled Milk,Alaska,360ml,NO SRP,54.75,54.75,0.00%,0,54.75,54.75,0.00%,0
Processed Milk - Evaporated,ALASKA Classic Evaporated Filled Milk - (Tetra Pack),Alaska,250ml,NO SRP,,,,,,,,
Processed Milk - Evaporated,ALPINE Reconstituted Evaporated Full Cream Milk,Alpine,140ml,NO SRP,41.75,41.75,0.00%,0,41.75,41.75,0.00%,0
Processed Milk - Evaporated,ALPINE Reconstituted Evaporated Full Cream Milk,Alpine,360ml,NO SRP,70,67.8,3.24%,2.2,70,67.75,3.32%,2.25
Processed Milk - Evaporated,ANGEL Evaporated Filled Milk,Angel,370ml,48,48,48,0.00%,0,48,,,
