MONTHLY COMPARATIVE PRICE DATA,,,,,,,,,,,,
NCR COVERAGE*,,,,,,,,,,,,
,,,,,,,,,,,,
CONSTRUCTION MATERIALS ,,,,,,,,,,,,
PRODUCT CATEGORY,COMMODITY,BRAND NAME,UNIT,SIZE,"MONITORED PREVAILING PRICE, NCR",,,,,,,
,,,,,CURRENT MONTH,A MONTH AGO ,CURRENT VS. A MONTH AGO ,,CURRENT MONTH,THREE MONTHS AGO ,CURRENT VS. THREE MONTHS AGO ,
,,,,,,,,,,,,
,,,,,NOVEMBER,OCTOBER,% CHANGE,PHP DIFF.,NOVEMBER,AUGUST,% CHANGE,PHP DIFF.
"GI Sheet, Roofing - Corrugated",PENTAGON GI Sheet - 0.2 mm per foot,Pentagon,feet,0.2 mm per foot,,,,,,,,
"GI Sheet, Roofing - Corrugated",PHILGA Lume GI Sheet - 0.4mm per foot,Philga Lume,feet,0.4mm per foot,,,,,,,,
"GI Sheet, Roofing - Corrugated",SONIC GI Sheet - 0.35mm per foot,Sonic,feet,0.35mm per foot,,,,,,,,
"GI Sheet, Roofing - Corrugated",SUPER LUME Corrugated GI Sheet,Super Lume,feet,0.4mm Z215 8ft,,,,,,,,
"GI Sheet, Roofing - Corrugated",SUPER LUME GI Sheet - 0.2mm z215 6 ft.,Super Lume,feet,0.2mm z215 6 ft.,,,,,,,,
"GI Sheet, Roofing - Corrugated",SUPER LUME GI Sheet - 0.2mm Z215 8 ft.,Super Lume,feet,0.2mm Z215 8 ft.,,,,,,,,
"GI Sheet, Roofing - Corrugated",SUPER LUME GI Sheet - 0.35mm per foot,Super Lume,feet,0.35mm per foot,,,,,,,,
"GI Sheet, Roofing - Corrugated",SUPER LUME Super Premium GI Sheet - 0.24mm,Super Lume,feet,0.24mm,,,,,,,,
"GI Sheet, Roofing - Corrugated",SUPER LUME Super Premium GI Sheet - 0.26mm,Super Lume,feet,0.26mm,,,,,,,,
"GI Sheet, Roofing - Corrugated",SUPER LUME Super Premium GI Sheet - 0.33mm,Super Lume,feet,0.33mm,,,,,,,,
"GI Sheet, Roofing - Corrugated",SUPER LUME Super Premium GI Sheet - 0.5mm,Super Lume,milli meter,0.5mm,,,,,,,,
"GI Sheet, Roofing - Corrugated",TAMARAW GI Sheet - 0.2mm Z215 6 ft.,Tamaraw,feet,0.2mm z215 6 ft.,,,,,,,,
"GI Sheet, Roofing - Corrugated",TAMARAW GI Sheet - 0.2mm Z215 8 ft.,Tamaraw,feet,0.2mm Z215 8 ft.,,,,,,,,
"GI Sheet, Roofing - Corrugated",TAMARAW GI Sheet - 0.4mm Z215 6 ft.,Tamaraw,feet,0.4mm z215 6 ft.,,,,,,,,
"GI Sheet, Roofing - Corrugated",TAMARAW GI Sheet - 0.4mm Z215 8ft.,Tamaraw,feet,0.4mm Z215 8ft.,,,,,,,,
"GI Sheet, Roofing - Corrugated",TRI-STAR GI Sheet - 0.2 mm per foot,Tri-Star,feet,0.2 mm per foot,,,,,,,,
"GI Sheet, Roofing - Corrugated",TRI-STAR GI Sheet - 0.24mm,Tri-Star,feet,0.24mm,,,,,,,,
"GI Sheet, Roofing - Corrugated",TRI-STAR GI Sheet - 0.26mm,Tri-Star,feet,0.26mm,,,,,,,,
"GI Sheet, Roofing - Corrugated",TRI-STAR GI Sheet - 0.33mm,Tri-Star,feet,0.33mm,,,,,,,,
"GI Sheet, Roofing - Corrugated",TRI-STAR GI Sheet - 0.35mm per foot,Tri-Star,feet,0.35 per foot,,,,,,,,
"GI Sheet, Roofing - Corrugated",TRI-STAR GI Sheet - 0.4mm per foot,Tri-Star,feet,1.4mm per foot,,,,,,,,
"GI Sheet, Roofing - Corrugated",TRI-STAR GI Sheet - 0.5mm,Tri-Star,feet,0.5mm,,,,,,,,
"GI Sheet, Roofing - Corrugated",ULTIMATE GI Sheet - 0.33mm,Ultimate,feet,0.33mm,,,,,,,,
Hollow Blocks (non-load bearing)/piece,"HOLLOW Blocks - Width 152 mm (6"")",Hollow Blocks,piece,"152 mm (6"")",23,23,0.00%,0,23,30,-23.33%,-7
Hollow Blocks (non-load bearing)/piece,HOLLOW Blocks Width 101 mm (4''),Hollow Blocks,piece,101 mm (4''),20,18,11.11%,2,20,21,-4.76%,-1
Lamp - Compact Fluorescent Lamp,ENERGETIC Compact Fluorescent Lamp - 7W,Energetic,watts,7 Watts,,,,,,,,
Lamp - Compact Fluorescent Lamp,ENERGETIC Compact Fluorescent Lamp - 9W,Energetic,watts,9 Watts,,,,,,,,
Lamp - Compact Fluorescent Lamp,EUROLUX Compact Fluorescent Lamp - 11W,Eurolux,watts,11 Watts,,,,,,,,
Lamp - Compact Fluorescent Lamp,EUROLUX Compact Fluorescent Lamp - 15W,Eurolux,watts,15 Watts,,,,,,,,
Lamp - Compact Fluorescent Lamp,EUROLUX Compact Fluorescent Lamp - 9W,Eurolux,watts,9 watts,,,,,,,,
Lamp - Compact Fluorescent Lamp,FIREFLY Compact Fluorescent Lamp - 11W,Firefly,watts,11 Watts,,,,,,,,
Lamp - Compact Fluorescent Lamp,FIREFLY Compact Fluorescent Lamp - 15W,Firefly,watts,15 Watts,,,,,,,,
Lamp - Compact Fluorescent Lamp,FIREFLY Compact Fluorescent Lamp - 23W,Firefly,watts,23 Watts,,,,,,,,
Lamp - Compact Fluorescent Lamp,FIREFLY Compact Fluorescent Lamp - 24W,Firefly,watts,24 Watts,,,,,,,,
Lamp - Compact Fluorescent Lamp,FIREFLY Compact Fluorescent Lamp - 5W,Firefly,watts,5 Watts,,,,,,,,
Lamp - Compact Fluorescent Lamp,FIREFLY Compact Fluorescent Lamp - 7W,Firefly,watts,7 Watts,,,,,,,,
Lamp - Compact Fluorescent Lamp,FIREFLY Compact Fluorescent Lamp - 8W,Firefly,watts,8 Watts,,,,,,,,
Lamp - Compact Fluorescent Lamp,FIREFLY Compact Fluorescent Lamp - 9W,Firefly,watts,9 Watts,,,,,,,,
Lamp - Compact Fluorescent Lamp,GE Compact Fluorescent Lamp - 11W,GE,watts,11 Watts,,,,,,,,
Lamp - Compact Fluorescent Lamp,GE Compact Fluorescent Lamp - 15W,GE,watts,15 Watts,,,,,,,,
Lamp - Compact Fluorescent Lamp,GE Compact Fluorescent Lamp - 18W,GE,watts,18 Watts,,,,,,,,
Lamp - Compact Fluorescent Lamp,GE Compact Fluorescent Lamp - 23W,GE,watts,23 Watts,,,,,,,,
Lamp - Compact Fluorescent Lamp,GE Compact Fluorescent Lamp - 24W,GE,watts,24 Watts,,,,,,,,
Lamp - Compact Fluorescent Lamp,GE Compact Fluorescent Lamp - 5W,GE,watts,5 Watts,,,,,,,,
Lamp - Compact Fluorescent Lamp,GE Compact Fluorescent Lamp - 8W,GE,watts,8 Watts,,,,,,,,
Lamp - Compact Fluorescent Lamp,GE Compact Fluorescent Lamp - 9W,GE,watts,9 watts,,,,,,,,
Lamp - Compact Fluorescent Lamp,OMNI Compact Fluorescent Lamp - 11W,Omni,watts,11 Watts,,,,,,,,
Lamp - Compact Fluorescent Lamp,OMNI Compact Fluorescent Lamp - 15W,Omni,watts,15 Watts,,,,,,,,
Lamp - Compact Fluorescent Lamp,OMNI Compact Fluorescent Lamp - 23,Omni,watts,23 Watts,,,,,,,,
Lamp - Compact Fluorescent Lamp,OMNI Compact Fluorescent Lamp - 24W,Omni,watts,24 Watts,,,,,,,,
Lamp - Compact Fluorescent Lamp,OMNI Compact Fluorescent Lamp - 5W,Omni,watts,5 Watts,,,,,,,,
Lamp - Compact Fluorescent Lamp,OMNI Compact Fluorescent Lamp - 7W,Omni,watts,7 Watts,,,,,,,,
Lamp - Compact Fluorescent Lamp,OMNI Compact Fluorescent Lamp - 8W,Omni,watts,8 Watts,,,,,,,,
Lamp - Compact Fluorescent Lamp,OMNI Compact Fluorescent Lamp - 9W,Omni,watts,9 Watts,,,,,,,,
Lamp - Compact Fluorescent Lamp,PHILIPS Compact Fluorescent Lamp - 11W,Philips,watts,11 Watts,,,,,,,,
Lamp - Compact Fluorescent Lamp,PHILIPS Compact Fluorescent Lamp - 14W,Philips,watts,14 Watts,,,,,,,,
Lamp - Compact Fluorescent Lamp,PHILIPS Compact Fluorescent Lamp - 15W,Philips,watts,15 Watts,,,,,,,,
Lamp - Compact Fluorescent Lamp,PHILIPS Compact Fluorescent Lamp - 23W,Philips,watts,23 Watts,,,,,,,,
Lamp - Compact Fluorescent Lamp,PHILIPS Compact Fluorescent Lamp - 24W,Philips,watts,24 Watts,,,,,,,,
Lamp - Compact Fluorescent Lamp,PHILIPS Compact Fluorescent Lamp - 5W,Philips,watts,5 Watts,,,,,,,,
Lamp - Compact Fluorescent Lamp,PHILIPS Compact Fluorescent Lamp - 7W,Philips,watts,7 Watts,,,,,,,,
Lamp - Compact Fluorescent Lamp,PHILIPS Compact Fluorescent Lamp - 8W,Philips,watts,8 Watts,,,,,,,,
Lamp - Compact Fluorescent Lamp,PHILIPS Compact Fluorescent Lamp - 9W,Philips,watts,9 Watts,,,,,,,,
Lamp - Compact Fluorescent Lamp,STARLUX Compact Fluorescent Lamp - 11W,Starlux,watts,11 Watts,,,,,,,,
Lamp - Compact Fluorescent Lamp,STARLUX Compact Fluorescent Lamp - 15W,Starlux,watts,15 Watts,,,,,,,,
Lamp - Compact Fluorescent Lamp,STARLUX Compact Fluorescent Lamp - 9W,Starlux,watts,9 watts,,,,,,,,
Lamp - Tubular Fluorescent Lamp,EUROLUX Tubular Fluorescent Lamp - 20W,Eurolux,watts,20 Watts,,,,,,,,
Lamp - Tubular Fluorescent Lamp,FIREFLY Tubular Fluorescent Lamp - 20W,Firefly,watts,20 Watts,,,,,,,,
Lamp - Tubular Fluorescent Lamp,GE Tubular Fluorescent Lamp - 20W,GE,watts,20 Watts,,,,,,,,
Lamp - Tubular Fluorescent Lamp,OMNI Tubular Fluorescent Lamp - 20W,Omni,watts,20 Watts,,,,,,,,
Lamp - Tubular Fluorescent Lamp,PHILIPS Tubular Fluorescent Lamp - 20W,Philips,watts,20 Watts,,,,,,,,
Lamp - Tubular Fluorescent Lamp,STARLUX Tubular Fluorescent Lamp - 20W,Starlux,watts,20 Watts,,,,,,,,
Nail - Common Wire Nail - 50mm,"APPLE Common Wire Nail - 50mm (2"")",Apple,milli meter,"50mm (2"")",,,,,,,,
Nail - Common Wire Nail - 50mm,"CADIZ Common Wire Nail - 50mm (2"")",Cadiz,milli meter,"50mm (2"")",,,,,,,,
Nail - Common Wire Nail - 50mm,"CPME Common Wire Nail - 50mm (2"")",CPME,milli meter,"50mm (2"")",85,90,-5.56%,-5,85,,,
Nail - Common Wire Nail - 50mm,DIAMOND Common Wire Nail - 50mm (2'),Diamond,milli meter,"50mm (2"")",,,,,,,,
Nail - Common Wire Nail - 50mm,"FIDELITY Common Wire Nail - 50mm (2"")",Fidelity,milli meter,"50mm (2"")",90,90,0.00%,0,90,95,-5.26%,-5
Nail - Common Wire Nail - 50mm,"GALVAGROOVE Common Wire Nail - 50mm (2"")",Galvagroove,milli meter,"50mm (2"")",90,,,,90,,,
Nail - Common Wire Nail - 50mm,"HIGHSTEEL Common Wire Nail - 50mm (2"")",Highsteel,milli meter,"50mm (2"")",85,90,-5.56%,-5,85,,,
Nail - Common Wire Nail - 50mm,"HI-TECH Steel Common Wire Nail - 50mm (2"")",Hi-Tech Steel,milli meter,"50mm (2"")",,120,-100.00%,-120,,,,
Nail - Common Wire Nail - 50mm,"HUDSON Common Wire Nail - 50mm (2"")",Hudson,milli meter,"50mm (2"")",,,,,,,,
Nail - Common Wire Nail - 50mm,"JOYLAND Common Wire Nail - 50mm (2"")",Joyland,milli meter,"50mm (2"")",,,,,,,,
Nail - Common Wire Nail - 50mm,"PENTAGON Common Wire Nail - 50mm (2"")",Pentagon,milli meter,"50mm (2"")",,75,,,,,,
Nail - Common Wire Nail - 50mm,"RB Steel Common Wire Nail - 50mm (2"")",RB Steel,milli meter,"50mm (2"")",,120,,,,,,
Nail - Common Wire Nail - 50mm,"STEEL ASIA Common Wire Nail - 50mm (2"")",Steel Asia,milli meter,"50mm (2"")",,,,,,,,
Nail - Common Wire Nail - 50mm,"STEEL WORLD Common Wire Nail - 50mm (2"")",Steel World,milli meter,"50mm (2"")",80,90,-11.11%,-10,80,,,
Nail - Common Wire Nail - 50mm,"STEELWORTH Common Wire Nail - 50mm (2"")",Steelworth,milli meter,"50mm (2"")",,,,,,,,
Nail - Common Wire Nail - 50mm,"STERLING Common Wire Nail - 50mm (2"")",Sterling,milli meter,"50mm (2"")",,85,,,,,,
Nail - Common Wire Nail - 50mm,"STONEHILL Common Wire Nail - 50mm (2"")",Stonehill,milli meter,"50mm (2"")",,,,,,,,
Nail - Common Wire Nail - 50mm,"TANSU Common Wire Nail - 50mm (2"")",Tansu,milli meter,"50mm (2"")",80,80,0.00%,0,80,,,
Nail - Common Wire Nail - 50mm,"UNIFAR Common Wire Nail - 50mm (2"")",Unifar,milli meter,"50mm (2"")",70,,,,70,,,
Nail - Common Wire Nail - 50mm,"UNIFIVE Common Wire Nail - 50mm (2"")",Unifive,milli meter,"50mm (2"")",95,85,11.76%,10,95,,,
Nail - Common Wire Nail - 50mm,"WONDER Common Wire Nail -  50mm (2"")",Wonder,milli meter,"50mm (2"")",,80,,,,,,
Nail - Common Wire Nail - 100mm,"APPLE Common Wire Nail - 100mm (4"")",Apple,milli meter,"100mm (4"")",,,,,,,,
Nail - Common Wire Nail - 100mm,"CADIZ Common Wire Nail - 100mm (4"")",Cadiz,milli meter,"100mm (4"")",,,,,,,,
Nail - Common Wire Nail - 100mm,"CPME Common Wire Nail - 100mm (4"")",CPME,milli meter,"100mm (4"")",78,90,-13.33%,-12,78,,,
Nail - Common Wire Nail - 100mm,"DIAMOND Common Wire Nail - 100mm (4"")",Diamond,milli meter,"100mm (4"")",,,,,,,,
Nail - Common Wire Nail - 100mm,"FIDELITY Common Wire Nail - 100mm (4"")",Fidelity,milli meter,"100mm (4"")",90,85,5.88%,5,90,95,-5.26%,-5
Nail - Common Wire Nail - 100mm,"HIGHSTEEl Common Wire Nail - 100mm (4"")",Highsteel,milli meter,"100mm (4"")",85,80,6.25%,5,85,,,
Nail - Common Wire Nail - 100mm,"HI-TECH Steel Common Wire Nail - 100mm (4"")",Hi-Tech Steel,milli meter,"100mm (4"")",,120,,,,,,
Nail - Common Wire Nail - 100mm,"HUDSON Common Wire Nail - 100mm (4"")",Hudson,milli meter,"100mm (4"")",,,,,,,,
Nail - Common Wire Nail - 100mm,"JOYLAND Common Wire Nail - 100mm (4"")",Joyland,milli meter,"100mm (4"")",,,,,,,,
Nail - Common Wire Nail - 100mm,"PENTAGON Common Wire Nail - 100mm (4"")",Pentagon,milli meter,"100mm (4"")",,75,,,,,,
Nail - Common Wire Nail - 100mm,"RB Steel Common Wire Nail - 100mm (4"")",RB Steel,milli meter,"100mm (4"")",,120,,,,,,
Nail - Common Wire Nail - 100mm,"STEEL ASIA Common Wire Nail - 100mm (4"")",Steel Asia,milli meter,"100mm (4"")",,,,,,,,
Nail - Common Wire Nail - 100mm,"STEEL WORLD Common Wire Nail - 100mm (4"")",Steel World,milli meter,"100mm (4"")",80,80,0.00%,0,80,,,
Nail - Common Wire Nail - 100mm,"STEELWORTH Common Wire Nail - 100mm (4"")",Steelworth,milli meter,"100mm (4"")",,,,,,,,
Nail - Common Wire Nail - 100mm,"STERLING Common Wire Nail - 100mm (4"")",Sterling,milli meter,"100mm (4"")",,85,,,,,,
Nail - Common Wire Nail - 100mm,"STONEHILL Common Wire Nail - 100mm (4"")",Stonehill,milli meter,"100mm (4"")",,,,,,,,
Nail - Common Wire Nail - 100mm,"TANSU Common Wire Nail - 100mm (4"")",Tansu,milli meter,"100mm (4"")",80,80,0.00%,0,80,,,
Nail - Common Wire Nail - 100mm,"UNIFAR Common Wire Nail - 100mm (4"")",Unifar,milli meter,"100mm (4"")",62,,,,62,,,
Nail - Common Wire Nail - 100mm,"UNIFIVE Common Wire Nail - 100mm (4"")",Unifive,milli meter,"100mm (4"")",89,80,11.25%,9,89,,,
Nail - Common Wire Nail - 100mm,"WONDER Common Wire Nail - 100mm (4"")",Wonder,milli meter,"100mm (4"")",,80,,,,,,
Nail - Finishing Nails - 50mm,"CADIZ Finishing Nails - 50mm (2"")",Cadiz,milli meter,"50mm (2"")",,,,,,,,
Nail - Finishing Nails - 50mm,"DIAMOND Finishing Nails - 50mm (2"")",Diamond,milli meter,"50mm (2"")",,,,,,,,
Nail - Finishing Nails - 50mm,"FIDELITY Finishing Nails - 50mm(2"")",Fidelity,milli meter,"50mm (2"")",90,90,0.00%,0,90,95,-5.26%,-5
Nail - Finishing Nails - 50mm,"HIGHSTEEL Finishing Nails - 50mm(2"")",Highsteel,milli meter,"50mm (2"")",85,95,-10.53%,-10,85,,,
Nail - Finishing Nails - 50mm,"HI-TECH Steel Finishing Nails - 50mm(2"")",Hi- Tech Steel,milli meter,"50mm (2"")",,120,,,,,,
Nail - Finishing Nails - 50mm,"HUDSON Finishing Nails - 50mm(2"")",Hudson,milli meter,"50mm (2"")",,,,,,,,
Nail - Finishing Nails - 50mm,"JOYLAND Finishing Nails - 50mm(2"")",Joyland,milli meter,"50mm (2"")",,,,,,,,
Nail - Finishing Nails - 50mm,"PENTAGON Finishing Nails - 50mm(2"")",Pentagon,milli meter,"50mm (2"")",,80,,,,,,
Nail - Finishing Nails - 50mm,"STEEL WORLD Finishing Nails - 50mm(2"")",Steel World,milli meter,"50mm (2"")",80,90,-11.11%,-10,80,,,
Nail - Finishing Nails - 50mm,"STERLING Finishing Nails - 50mm(2"")",Sterling,milli meter,"50mm (2"")",,100,,,,,,
Nail - Finishing Nails - 50mm,"STONEHILL Finishing Nails - 50mm(2"")",Stonehill,milli meter,"50mm (2"")",,,,,,,,
Nail - Finishing Nails - 50mm,"TANSU Finishing Nails - 50mm(2"")",Tansu,milli meter,"50mm (2"")",80,90,-11.11%,-10,80,,,
Nail - Finishing Nails - 50mm,"UNIFAR Finishing Nails - 50mm(2"")",Unifar,milli meter,"50mm (2"")",72,,,,72,,,
Nail - Finishing Nails - 50mm,"UNIFIVE Finishing Nails - 50mm(2"")",Unifive,milli meter,"50mm (2"")",100,90,11.11%,10,100,,,
Nail - Finishing Nails - 50mm,"WONDER Finishing Nails - 50mm(2"")",Wonder,milli meter,"50mm (2"")",,100,,,,,,
Nail - Finishing Nails - 75mm,"DIAMOND Finishing Nails - 75mm (3"")",Diamond,milli meter,"75mm (3"")",,,,,,,,
Nail - Finishing Nails - 75mm,"FIDELITY Finishing Nails - 75mm (3"")",Fidelity,milli meter,"75mm (3"")",90,120,-25.00%,-30,90,100,-10.00%,-10
Nail - Finishing Nails - 75mm,"HIGHSTEEL Finishing Nails - 75mm (3"")",Highsteel,milli meter,"75mm (3"")",85,85,0.00%,0,85,,,
Nail - Finishing Nails - 75mm,"HI-Tech Steel Finishing Nails - 75mm (3"")",HI- Tech Steel,milli meter,"75mm (3"")",,115,,,,,,
Nail - Finishing Nails - 75mm,"HUDSON Finishing Nails - 75mm (3"")",Hudson,milli meter,"75mm (3"")",,,,,,,,
Nail - Finishing Nails - 75mm,"JOYLAND Finishing Nails - 75mm (3"")",Joyland,milli meter,"75mm (3"")",,,,,,,,
Nail - Finishing Nails - 75mm,"PENTAGON Finishing Nails - 75mm (3"")",Pentagon,milli meter,"75mm (3"")",,80,,,,,,
Nail - Finishing Nails - 75mm,"STEEL WORLD Finishing Nails - 75mm (3"")",Steel World,milli meter,"75mm (3"")",80,100,-20.00%,-20,80,,,
Nail - Finishing Nails - 75mm,"STERLING Finishing Nails - 75mm (3"")",Sterling,milli meter,"75mm (3"")",,100,,,,,,
Nail - Finishing Nails - 75mm,"STONEHILL Finishing Nails - 75mm (3"")",Stonehill,milli meter,"75mm (3"")",,,,,,,,
Nail - Finishing Nails - 75mm,"TANSU Finishing Nails - 75mm (3"")",Tansu,milli meter,"75mm (3"")",80,90,-11.11%,-10,80,,,
Nail - Finishing Nails - 75mm,"UNIFAR Finishing Nails - 75mm (3"")",Unifar,milli meter,"75mm (3"")",68,,,,68,,,
Nail - Finishing Nails - 75mm,"UNIFIVE Finishing Nails - 75mm (3"")",Unifive,milli meter,"75mm (3"")",96,90,6.67%,6,96,,,
Nail - Finishing Nails - 75mm,"WONDER Finishing Nails - 75mm (3"")",Wonder,milli meter,"75mm (3"")",,100,,,,,,
Plywood - Marine Plywood,AGUSAN Marine Plywood - Type 1 Thickness (10mm),Agusan,milliliter,Type 1 - 10mm,,,,,,,,
Plywood - Marine Plywood,AGUSAN Marine Plywood - Type 1 Thickness (12mm),Agusan,milliliter,Type 1 - 12mm,,,,,,,,
Plywood - Marine Plywood,AGUSAN Marine Plywood - Type 1 Thickness (18mm),Agusan,milliliter,Type 1 - 18mm,,,,,,,,
Plywood - Marine Plywood,AGUSAN Marine Plywood - Type 1 Thickness (5mm),Agusan,milliliter,Type 1 - 5mm,,,,,,,,
Plywood - Marine Plywood,AGUSAN Marine Plywood - Type 1 Thickness (9mm),Agusan,milliliter,Type 1 - 9mm,,,,,,,,
Plywood - Marine Plywood,CHAVERSON Marine Plywood - Type 1 Thickness (12mm),Chaverson,milli meter,Type 1 - 12mm,,,,,,,,
Plywood - Marine Plywood,CHAVERSON Marine Plywood - Type 1 Thickness (18mm),Chaverson,milli meter,Type 1 - 18mm,,,,,,,,
Plywood - Marine Plywood,CHAVERSON Marine Plywood - Type 1 Thickness (5mm),Chaverson,milli meter,Type 1 - 5mm,,,,,,,,
Plywood - Marine Plywood,Li-Chiang Marine Plywood - Type 1 Thickness (10mm),Li-Chiang,milli meter,Type 1 - 10mm,,,,,,,,
Plywood - Marine Plywood,Li-Chiang Marine Plywood - Type 1 Thickness (5mm),Li-Chiang,milli meter,Type 1 - 5mm,,,,,,,,
Plywood - Marine Plywood,NEBRASKA Marine Plywood - Type 1 Thickness (10mm),Nebraska,milli meter,Type 1 - 10mm,,,,,,,,
Plywood - Marine Plywood,NEBRASKA Marine Plywood - Type 1 Thickness (18mm),Nebraska,milli meter,Type 1 - 18mm,,,,,,,,
Plywood - Marine Plywood,NEBRASKA Marine Plywood - Type 1 Thickness (5mm),Nebraska,milli meter,Type 1 - 5mm,,,,,,,,
Plywood - Marine Plywood,NEBRASKA Marine Plywood - Type 1 Thickness (9mm),Nebraska,milli meter,Type 1 - 9mm,,,,,,,,
Plywood - Marine Plywood,RICHMOND Marine Plywood - Type 1 Thickness (10mm),Richmond,milli meter,Type 1 - 10mm,,,,,,,,
Plywood - Marine Plywood,RICHMOND Marine Plywood - Type 1 Thickness (12mm),Richmond,milli meter,Type 1 - 12mm,,,,,,,,
Plywood - Marine Plywood,RICHMOND Marine Plywood - Type 1 Thickness (18mm),Richmond,milli meter,Type 1 - 18mm,,,,,,,,
Plywood TYPE 1 - Marine Plywood ,OMEGA Marine Plywood - Type 1 Thickness (10mm),Omega,length,Type 1 - 10mm,,,,,,,,
Plywood TYPE 1 - Marine Plywood ,OMEGA Marine Plywood - Type 1 Thickness (9mm),Omega,length,Type 1 - 9mm,,,,,,,,
Plywood TYPE 1 - Marine Plywood ,RICHMOND Marine Plywood - Type 1 Thickness (5mm),Richmond,milli meter,Type 1 - 5mm,,,,,,,,
Plywood TYPE 1 - Marine Plywood ,RICHMOND Marine Plywood - Type 1 Thickness (9mm),Richmond,milli meter,Type 1 - 9mm,,,,,,,,
Plywood TYPE 1 - Marine Plywood ,SMART Marine Plywood - Type 1 Thickness  (5mm),Smart,milli meter,Type 1 - 5mm,,,,,,,,
Plywood TYPE 1 - Marine Plywood ,SMART Marine Plywood - Type 1 Thickness (10mm),Smart,milli meter,Type 1 - 10mm,,,,,,,,
Plywood TYPE 1 - Marine Plywood ,SMART Marine Plywood - Type 1 Thickness (18mm),Smart,milli meter,Type 1 - 18mm,,,,,,,,
Plywood TYPE 1 - Marine Plywood ,SMART Marine Plywood - Type 1 Thickness (9mm),Smart,milli meter,Type 1 - 9mm,,,,,,,,
Plywood TYPE 1 - Marine Plywood ,TF Marine Plywood - Type 1 Thickness (10mm),TF,milli meter,Type 1 - 10mm,,,,,,,,
Plywood TYPE 1 - Marine Plywood ,UNIWOOD Marine Plywood - Type 1 Thickness (10mm),Uniwood,length,Type 1 - 10mm,,,,,,,,
Plywood TYPE 1 - Marine Plywood ,UNIWOOD Marine Plywood - Type 1 Thickness (5mm),Uniwood,length,Type 1 - 5mm,,,,,,,,
Plywood TYPE 1 - Marine Plywood ,WINDEZ Marine Plywood - Type 1 Thickness (10mm),Windez,length,Type 1 - 10mm,,,,,,,,
Plywood TYPE 1 - Marine Plywood ,WINDEZ Marine Plywood - Type 1 Thickness (12mm),Windez,length,Type 1 - 12mm,,,,,,,,
Plywood TYPE 1 - Marine Plywood ,WINDEZ Marine Plywood - Type 1 Thickness (18mm),Windez,length,Type 1 - 18mm,,,,,,,,
Plywood TYPE 1 - Marine Plywood ,WINDEZ Marine Plywood - Type 1 Thickness (5mm),Windez,length,Type 1 - 5mm,,,,,,,,
Plywood TYPE 1 - Marine Plywood ,WINLEX Marine Plywood - Type 1 Thickness (10mm),Winlex,length,Type 1 - 10mm,,,,,,,,
Plywood TYPE 1 - Marine Plywood ,WINLEX Marine Plywood - Type 1 Thickness (12mm),Winlex,length,Type 1 - 12mm,,,,,,,,
Plywood TYPE 1 - Marine Plywood ,WINLEX Marine Plywood - Type 1 Thickness (18mm),Winlex,length,Type 1 - 18mm,,,,,,,,
Plywood TYPE 1 - Marine Plywood ,WINLEX Marine Plywood - Type 1 Thickness (5mm),Winlex,length,Type 1 - 5mm,,,,,,,,
Plywood TYPE 1 - Marine Plywood ,WOOD KING Marine Plywood - Type 1 Thickness (12mm),Wood King,length,Type 1 - 12mm,,,,,,,,
Plywood TYPE 1 - Marine Plywood ,ZAMBO Marine Plywood - Type 1 Thickness (10mm),Zambo,length,Type 1 - 10mm,,,,,,,,
Plywood TYPE 1 - Marine Plywood ,ZAMBO Marine Plywood - Type 1 Thickness (12mm),Zambo,length,Type 1 - 12mm,,,,,,,,
Plywood TYPE 1 - Marine Plywood ,ZAMBO Marine Plywood - Type 1 Thickness (18mm),Zambo,length,Type 1 - 18mm,,,,,,,,
Plywood TYPE 1 - Marine Plywood ,ZAMBO Marine Plywood - Type 1 Thickness (5mm),Zambo,length,Type 1 - 5mm,,,,,,,,
Plywood TYPE 2 - Marine Plywood,AGUSAN Marine Plywood - Type 2 Thickness (18mm),Agusan,milliliter,Type 2 - 18mm,,,,,,,,
Plywood TYPE 2 - Marine Plywood,RICHMOND Marine Plywood - Type 2 Thickness (10mm),Richmond,milli meter,Type 2 - 10mm,,,,,,,,
Plywood TYPE 2 - Marine Plywood,RICHMOND Marine Plywood - Type 2 Thickness (18mm),Richmond,milli meter,Type 2 - 18mm,,,,,,,,
Plywood TYPE 2 - Marine Plywood,RICHMOND Marine Plywood - Type 2 Thickness (5mm),Richmond,milli meter,Type 2 - 5mm,,,,,,,,
Plywood TYPE 2 - Marine Plywood,UNIWOOD Marine Plywood - Type 2 Thickness (5mm),Uniwood,length,Type 2 - 5mm,,,,,,,,
Plywood TYPE 2 - Marine Plywood,UNIWOOD Marine Plywood - Type 2 Thickness (9mm),Uniwood,length,Type 2 - 9mm,,,,,,,,
Plywood TYPE 2 - Marine Plywood,ZAMBO Marine Plywood - Type 2 Thickness (18mm),Zambo,length,Type 2 - 18mm,,,,,,,,
Starter,EAGLE Starter (C-10) 65W,Eagle,watts,65 watts,,25,,,,,,
Starter,EAGLE Starter (S10-P) 65W,Eagle,watts,65 watts,,,,,,,,
Starter,FIREFLY Starter (C-10) 65W,Firefly,watts,65 watts ,,,,,,,,
Starter,FIREFLY Starter (S10-P) 65W,Firefly,watts,66 watts ,,20,,,,,,
