MONTHLY COMPARATIVE PRICE DATA,,,,,,,,,,,,
NATIONWIDE COVERAGE*,,,,,,,,,,,,
,,,,,,,,,,,,
PRIME COMMODITIES (PC),,,,,,,,,,,,
PRODUCT CATEGORY,COMMODITY,BRAND NAME,"SPECIFICATION
(size, unit, weight, height, etc.)","SRP
01 FEB 2025 (ADJUSTED)","MONITORED PREVAILING PRICE, NATIONWIDE",,,,,,,
,,,,,CURRENT MONTH,A MONTH AGO ,CURRENT VS. A MONTH AGO ,,CURRENT MONTH,THREE MONTHS AGO ,CURRENT VS. THREE MONTHS AGO ,
,,,,,,,,,,,,
,,,,,NOVEMBER,OCTOBER,% CHANGE,PHP DIFF.,NOVEMBER,AUGUST,% CHANGE,PHP DIFF.
Battery,DURACELL AAA,DURACELL,2pcs/pack,NO SRP,,,,,,,,
Condiments - Vinegar,MARCA PIÑA Cane Vinegar (PET Bottle),Marca Pina,500ml,NO SRP,25.5,27.1,-5.90%,-1.6,25.5,27.05,-5.73%,-1.55
Condiments - Vinegar,MARCA PINA Sukang Puti (PET Bottle),Marca Pina,1L,NO SRP,49.25,42.5,15.88%,6.75,49.25,46.95,4.90%,2.3
Condiments - Vinegar,SILVER SWAN Cane Vinegar (POUCH) ,Silver Swan,350ml,NO SRP,,,,,,,,
Condiments - Vinegar,SILVER SWAN Sukang Puti (PET Bottle) ,Silver Swan,350ml,18,18,18,0.00%,0,18,18,0.00%,0
Condiments - Vinegar,SILVER SWAN Sukang Puti (GIN Bottle) ,Silver Swan,350ml,18,,,,,,,,
Condiments - Vinegar,SILVER SWAN Sukang Puti DOY PACK - SMKT,Silver Swan,200ml,8.25,7.4,7.4,0.00%,0,7.4,7.75,-4.52%,-0.35
Condiments - Vinegar,SILVER SWAN Sukang Puti DOY PACK- WMKT,Silver Swan,200ml,8.5,,,,,,,,
Condiments - Vinegar,SILVER SWAN Sukang Puti (POUCH),Silver Swan,1L,NO SRP,41.25,41.25,0.00%,0,41.25,41.25,0.00%,0
Condiments - Vinegar,SM BONUS White Vinegar (PET Bottle),SM Bonus,350ml,NO SRP,13.75,13.75,0.00%,0,13.75,13.75,0.00%,0
Condiments - Vinegar,SM BONUS Natural Vinegar (PET Bottle),SM Bonus,1L,NO SRP,33.75,33.75,0.00%,0,33.75,33.75,0.00%,0
Condiments - Vinegar,SM BONUS White Vinegar - (POUCH),SM Bonus,1L,NO SRP,32,32,0.00%,0,32,32,0.00%,0
Toilet Soap,ANTABAX Antibacterial Soap - FRESH ,Antabax,75g,NO SRP,,,,,,,,
Toilet Soap,ANTABAX Antibacterial Soap - COOL,Antabax,75g,NO SRP,,,,,,,,
Toilet Soap,ANTABAX Antibacterial Soap - GENTLE CARE,Antabax,75g,NO SRP,,,,,,,,
Toilet Soap,ANTABAX Antibacterial Soap - NATURE,Antabax,75g,NO SRP,,,,,,,,
Toilet Soap,ANTABAX Antibacterial Soap - PROTECT,Antabax,75g,NO SRP,,,,,,,,
Toilet Soap,ANTABAX Antibacterial Soap - ACTIVE DEO,Antabax,75g,NO SRP,,,,,,,,
Toilet Soap,ANTABAX Antibacterial Soap - FRESH ,Antabax,110g,NO SRP,31,31,0.00%,0,31,30.75,0.81%,0.25
Toilet Soap,ANTABAX Antibacterial Soap - COOL,Antabax,110g,NO SRP,31,31,0.00%,0,31,30.75,0.81%,0.25
Toilet Soap,ANTABAX Antibacterial Soap - GENTLE CARE,Antabax,110g,NO SRP,31,31,0.00%,0,31,30.75,0.81%,0.25
Toilet Soap,ANTABAX Antibacterial Soap - NATURE,Antabax,110g,NO SRP,31,31,0.00%,0,31,30.75,0.81%,0.25
Toilet Soap,ANTABAX Antibacterial Soap - PROTECT,Antabax,110g,NO SRP,,,,,,30.75,,
Toilet Soap,ANTABAX Antibacterial Soap - ACTIVE DEO,Antabax,110g,NO SRP,,,,,,,,
Toilet Soap,BIODERM Coolness - BLUE,Bioderm,55g,NO SRP,,,,,,,,
Toilet Soap,BIODERM Coolness - BLUE,Bioderm,90g,NO SRP,31.5,36.75,-14.29%,-5.25,31.5,31.5,0.00%,0
Toilet Soap,BIODERM Coolness - BLUE,Bioderm,135g,NO SRP,42,42,0.00%,0,42,42,0.00%,0
Toilet Soap,BIODERM Freshen - GREEN,Bioderm,55g,NO SRP,,,,,,,,
Toilet Soap,BIODERM Freshen - GREEN,Bioderm,90g,NO SRP,34.75,34.75,0.00%,0,34.75,31,12.10%,3.75
Toilet Soap,BIODERM Freshen - GREEN,Bioderm,135g,NO SRP,41,41,0.00%,0,41,41,0.00%,0
Toilet Soap,BIODERM Bloom - PINK,Bioderm,55g,NO SRP,,,,,,,,
Toilet Soap,BIODERM Bloom - PINK,Bioderm,90g,NO SRP,34.75,34.75,0.00%,0,34.75,34.75,0.00%,0
Toilet Soap,BIODERM Bloom - PINK,Bioderm,135g,NO SRP,41,41,0.00%,0,41,41,0.00%,0
Toilet Soap,BIODERM Pristine - WHITE,Bioderm,55g,NO SRP,,,,,,,,
Toilet Soap,BIODERM Pristine - WHITE,Bioderm,90g,NO SRP,34.75,34.75,0.00%,0,34.75,31,12.10%,3.75
Toilet Soap,BIODERM Pristine - WHITE,Bioderm,135g,NO SRP,46.75,46.75,0.00%,0,46.75,41,14.02%,5.75
Toilet Soap,GREEN Cross Pure Care - WHITE,Green Cross,55g,15,15,15,0.00%,0,15,15,0.00%,0
Toilet Soap,GREEN Cross Pure Care - WHITE,Green Cross,85g,25.75,25.75,25.75,0.00%,0,25.75,25.75,0.00%,0
Toilet Soap,GREEN Cross Pure Care - WHITE,Green Cross,125g,37.25,37.25,37.25,0.00%,0,37.25,37.25,0.00%,0
Toilet Soap,GREEN Cross Aqua Clean - BLUE,Green Cross,55g,NO SRP,15.25,16,-4.69%,-0.75,15.25,15.25,0.00%,0
Toilet Soap,GREEN Cross Aqua Clean - BLUE,Green Cross,85g,NO SRP,28,28,0.00%,0,28,28,0.00%,0
Toilet Soap,GREEN Cross Aqua Clean - BLUE,Green Cross,125g,NO SRP,37.75,37.75,0.00%,0,37.75,37.75,0.00%,0
Toilet Soap,GREEN Cross Clear Radiance - PINK,Green Cross,55g,NO SRP,16,16,0.00%,0,16,15.25,4.92%,0.75
Toilet Soap,GREEN Cross Clear Radiance - PINK,Green Cross,85g,NO SRP,28,28,0.00%,0,28,28,0.00%,0
Toilet Soap,GREEN Cross Clear Radiance - PINK,Green Cross,125g,NO SRP,37.75,37.75,0.00%,0,37.75,37.75,0.00%,0
Toilet Soap,GREEN Cross Cool Mountain - GREEN,Green Cross,55g,NO SRP,16,16,0.00%,0,16,15.25,4.92%,0.75
Toilet Soap,GREEN Cross Cool Mountain - GREEN,Green Cross,85g,NO SRP,28,28,0.00%,0,28,28,0.00%,0
Toilet Soap,GREEN Cross Cool Mountain - GREEN,Green Cross,125g,NO SRP,37.75,37.75,0.00%,0,37.75,37.75,0.00%,0
Toilet Soap,HYGIENIX Germicidal Soap Pure Defense,Hygienix,125g,NO SRP,40,39,2.56%,1,40,39,2.56%,1
Toilet Soap,LIFEBUOY Antibacterial Soap - TOTAL 10,Lifebuoy,110g,NO SRP,,,,,,,,
Toilet Soap,LIFEBUOY Antibacterial Soap - LEMON FRESH,Lifebuoy,110g,NO SRP,,,,,,,,
Toilet Soap,PALMOLIVE Naturals  White with Natural Milk,Palmolive ,55g,17,,,,,,,,
Toilet Soap,PALMOLIVE Naturals Hydrating Glow - GREEN,Palmolive ,115g,NO SRP,,,,,,,,
Toilet Soap,PALMOLIVE Naturals Hydrating Glow - GREEN,Palmolive ,55g,17,,,,,,,,
Toilet Soap,PALMOLIVE Naturals Hydrating Glow - GREEN,Palmolive ,80g,NO SRP,,,,,,,,
Toilet Soap,PALMOLIVE Naturals Pinkish Glow,Palmolive ,115g,NO SRP,,,,,,,,
Toilet Soap,PALMOLIVE Naturals Pinkish Glow,Palmolive ,55g,17,,,,,,,,
Toilet Soap,PALMOLIVE Naturals Pinkish Glow,Palmolive ,80g,NO SRP,,,,,,,,
Toilet Soap,PALMOLIVE Naturals White with Natural Milk,Palmolive ,115g,NO SRP,,,,,,,,
Toilet Soap,PALMOLIVE Naturals White with Natural Milk,Palmolive ,80g,NO SRP,,,,,,,,
Toilet Soap,PALMOLIVE Naturals Rosy Bloom - PINK,Palmolive ,55g,NO SRP,15.5,15.5,0.00%,0,15.5,15.5,0.00%,0
Toilet Soap,PALMOLIVE Naturals Rosy Bloom - PINK,Palmolive ,115g,NO SRP,41.75,43.05,-3.02%,-1.3,41.75,41.75,0.00%,0
Toilet Soap,PALMOLIVE Naturals Papaya - Orange,Palmolive ,55g,17,,17,,,,,,
Toilet Soap,SAFEGUARD Arctic Fresh,Safeguard  ,55g,NO SRP,20.5,20.5,0.00%,0,20.5,19.5,5.13%,1
Toilet Soap,SAFEGUARD Floral Pink - PINK,Safeguard  ,55g,NO SRP,,20.4,,,,19.5,,
Toilet Soap,SAFEGUARD Floral Pink - PINK,Safeguard  ,85g,NO SRP,,,,,,40,,
Toilet Soap,SAFEGUARD Floral Pink - PINK,Safeguard  ,115g,NO SRP,47.75,49,-2.55%,-1.25,47.75,47.75,0.00%,0
Toilet Soap,SAFEGUARD Floral Pink - PINK,Safeguard  ,125g,NO SRP,68,,,,68,49,38.78%,19
Toilet Soap,SAFEGUARD Floral Pink - PINK,Safeguard  ,160g,NO SRP,68,65.75,3.42%,2.25,68,65.75,3.42%,2.25
Toilet Soap,SAFEGUARD Fresh Green - GREEN,Safeguard  ,60g,NO SRP,19.5,20.5,-4.88%,-1,19.5,19.5,0.00%,0
Toilet Soap,SAFEGUARD Fresh Green - GREEN,Safeguard  ,115g,NO SRP,,49,,,,49,,
Toilet Soap,SAFEGUARD Fresh Green - GREEN,Safeguard  ,125g,NO SRP,49,49,0.00%,0,49,49,0.00%,0
Toilet Soap,SAFEGUARD Fresh Green - GREEN,Safeguard  ,160g,NO SRP,68,68,0.00%,0,68,68,0.00%,0
Toilet Soap,SAFEGUARD Lemon Fresh - YELLOW,Safeguard  ,55g,NO SRP,,20.4,,,,19.5,,
Toilet Soap,SAFEGUARD Lemon Fresh - YELLOW,Safeguard  ,85g,NO SRP,,,,,,,,
Toilet Soap,SAFEGUARD Lemon Fresh - YELLOW,Safeguard  ,115g,NO SRP,49,49,0.00%,0,49,47.75,2.62%,1.25
Toilet Soap,SAFEGUARD Lemon Fresh - YELLOW,Safeguard  ,125g,NO SRP,45,,,,45,49,-8.16%,-4
Toilet Soap,SAFEGUARD Lemon Fresh - YELLOW,Safeguard  ,160g,NO SRP,65.75,65.75,0.00%,0,65.75,65.75,0.00%,0
Toilet Soap,SAFEGUARD Pure White Soap,Safeguard  ,55g,22,,20.4,,,,18.5,,
Toilet Soap,SAFEGUARD Pure White Soap,Safeguard  ,82g,31.25,29.25,29.25,0.00%,0,29.25,29.25,0.00%,0
Toilet Soap,SAFEGUARD Pure White Soap,Safeguard  ,119g,49,,,,,,,,
Toilet Soap,SAFEGUARD White Camellia ,Safeguard  ,55g,NO SRP,,20.4,,,,19.5,,
Toilet Soap,SAFEGUARD White Camellia ,Safeguard  ,115g,NO SRP,49,49,0.00%,0,49,49,0.00%,0
Toilet Soap,SAFEGUARD White Camellia ,Safeguard  ,160g,NO SRP,65.75,65.75,0.00%,0,65.75,65.75,0.00%,0
Toilet Soap,SHIELD Bath Soap - BLUE,Shield,120g,NO SRP,,,,,,,,
Toilet Soap,SHIELD Bath Soap - PINK,Shield,60g,NO SRP,,,,,,,,
Toilet Soap,SHIELD Bath Soap - YELLOW,Shield,90g,NO SRP,,,,,,,,
Toilet Soap,SHIELD Sakura Glow - PINK,Shield,55g,NO SRP,16.75,16.75,0.00%,0,16.75,16.75,0.00%,0
Toilet Soap,SHIELD Sakura Glow - PINK,Shield,120g,NO SRP,33.75,33.75,0.00%,0,33.75,33.75,0.00%,0
Toilet Soap,SHIELD Cologne Fresh - BLUE,Shield,55g,NO SRP,16.75,16.75,0.00%,0,16.75,16.75,0.00%,0
Toilet Soap,SHIELD Cologne Fresh - BLUE,Shield,120g,NO SRP,33.75,33.75,0.00%,0,33.75,33.75,0.00%,0
Toilet Soap,SHIELD Honey & Orange Blossom - YELLOW,Shield,55g,NO SRP,14.25,14.25,0.00%,0,14.25,14.25,0.00%,0
Toilet Soap,SHIELD Honey & Orange Blossom - YELLOW,Shield,120g,NO SRP,33.75,33.75,0.00%,0,33.75,33.75,0.00%,0
Hard Flour,ANGEL WHITE (PLASTIC BAG),Angel White,25kg/bag,NO SRP,,,,,,,,
Hard Flour,ANGEL WHITE (COTTON) ,Angel White (Cotton),25kg/bag,NO SRP,,1140,,,,,,
Hard Flour,ASIAN GRAINS NAGA AZUL,Naga Azul,25kg/bag,NO SRP,,,,,,,,
Hard Flour,ASIAN GRAINS NAGA ORO, Naga Oro,25kg/bag,NO SRP,,,,,,,,
Hard Flour,ASIAN GRAINS NAGA ROSSA, Naga Rossa,25kg/bag,NO SRP,,,,,,,,
Hard Flour,ATLANTIC GRAINS ,Atlantic Grains,25kg/bag,NO SRP,,,,,,,,
Hard Flour,ATLANTIC GRAINS AMBASSADOR,Ambassador,25kg/bag,NO SRP,,,,,,,,
Hard Flour,ATLANTIC GRAINS EL DORADO,El Dorado,25kg/bag,NO SRP,,,,,,,,
Hard Flour,ATLANTIC GRAINS IRISH WINDMILL ,Irish Windmill,25kg/bag,NO SRP,,,,,,,,
Hard Flour,ATLANTIC GRAINS MAGNIFICENT,Magnificent,25kg/bag,NO SRP,,,,,,,,
Hard Flour,ATLANTIC GRAINS PINOY PAN,Pinoy Pan,25kg/bag,NO SRP,,,,,,,,
Hard Flour,ATLANTIC GRAINS PRESIDENT,President,25kg/bag,NO SRP,,,,,,,,
Hard Flour,ATLANTIC GRAINS SUPREME,Supreme ,25kg/bag,NO SRP,,,,,,,,
Hard Flour,ATLANTIC GRAINS WINNER SPECIAL,Winner Special,25kg/bag,NO SRP,,,,,,,,
Hard Flour,BAKER'S CHOICE ,Baker's Choice,25kg/bag,NO SRP,,,,,,,,
Hard Flour,BANANA  (TURKEY),Banana,25kg/bag,NO SRP,,,,,,,,
Hard Flour,BARON ,Baron,25kg/bag,NO SRP,1200,1250,-4.00%,-50,1200,,,
Hard Flour,BESPAN  (CHINA),Bespan,25kg/bag,NO SRP,,,,,,,,
Hard Flour,BLEND 100  ,Blend 100,25kg/bag,NO SRP,,,,,,,,
Hard Flour,COUNT,Count,25kg/bag,NO SRP,,,,,,,,
Hard Flour,EKSUN  (TURKEY),Eksun,25kg/bag,NO SRP,,,,,,,,
Hard Flour,EL SUPERIOR ,El Superior,25kg/bag,NO SRP,,980,,,,,,
Hard Flour,ELEPHANT ,Elephant,25kg/bag,NO SRP,,,,,,,,
Hard Flour,EMPEROR  ,Emperor,25kg/bag,NO SRP,,,,,,,,
Hard  Flour,FAMILY  ALL-PURPOSE FLOUR,Family,25kg/bag,NO SRP,1250,,,,1250,,,
Hard Flour,GENERAL  ,General,25kg/bag,NO SRP,,,,,,,,
Hard Flour,GLOBE ,Globe,25kg/bag,NO SRP,980,980,0.00%,0,980,,,
Hard Flour,GOLD FISH ,Gold Fish,25kg/bag,NO SRP,1000,980,2.04%,20,1000,,,
Hard Flour,GOLDEN HARVEST,Golden Harvest,25kg/bag,NO SRP,,,,,,,,
Hard Flour,GOLDEN WHEAT ALL PURPOSE FLOUR,Golden Wheat,25kg/bag,NO SRP,1150,1400,-17.86%,-250,1150,,,
Hard Flour,HARINA DE PANDESAL FLOUR,Harina de Pandesal,25kg/bag,NO SRP,,,,,,,,
Hard Flour,HI-PRO - COTTON ,Hi-Pro - Cotton,25kg/bag,NO SRP,,,,,,,,
Hard Flour,HI-PRO - PLASTIC POLYBAG ,Hi-Pro - Plastic Polybag,25kg/bag,NO SRP,,,,,,,,
Hard Flour,KING BEEN   ,King Been,25kg/bag,NO SRP,,,,,,,,
Hard Flour,KING ,King,25kg/bag,NO SRP,970,960,1.04%,10,970,,,
Hard Flour,KUTITAP ,Kutitap,25kg/bag,NO SRP,,,,,,,,
Hard Flour,LAPU-LAPU ,Lapu-Lapu,25kg/bag,NO SRP,,,,,,,,
Hard Flour,MAJESTIC FLOUR,Majestic,25kg/bag,NO SRP,,,,,,,,
Hard Flour,MAKILING ,Makiling,25kg/bag,NO SRP,,,,,,,,
Hard Flour,MASTER'S CHOICE,Master's Choice,25kg/bag,NO SRP,,,,,,,,
Hard Flour,METRO STAR ,Metro Star,25kg/bag,NO SRP,,,,,,,,
Hard Flour,MONARCH ,Monarch,25kg/bag,NO SRP,,1200,,,,,,
Hard Flour,MONARK ,Monark,25kg/bag,NO SRP,,,,,,,,
Hard Flour,MONTANA ,Montana,25kg/bag,NO SRP,,,,,,,,
Hard Flour,MORNING STAR  ,Morning Star,25kg/bag,NO SRP,,,,,,,,
Hard Flour,PENGUINE (3RD CLASS)  ,Penguine,25kg/bag,NO SRP,680,750,-9.33%,-70,680,,,
Hard Flour,REPUBLIC SPECIAL COTTON   ,Republic Special Cotton,25kg/bag,NO SRP,,,,,,,,
Hard Flour,REPUBLIC SPECIAL PLASTIC POLYBAG ,Republic Special Plastic Polybag,25kg/bag,NO SRP,,,,,,,,
Hard Flour,SILVER STAR  ,Silver Star,25kg/bag,NO SRP,,,,,,,,
Hard Flour,SNO-WHITE  ,Sno-White,25kg/bag,NO SRP,,930,,,,,,
Hard Flour,SUN MOON STAR ,Sun Moon Star,25kg/bag,NO SRP,,,,,,,,
Hard Flour,SUNSHINE  ,Sunshine,25kg/bag,NO SRP,,,,,,,,
Hard Flour,VIETNAM (3RD CLASS)  ,Vietnam (3rd Class),25kg/bag,NO SRP,,,,,,,,
Hard Flour,VINTA  ,Vinta,25kg/bag,NO SRP,,,,,,,,
Hard Flour,WASHINGTON GOLD ,Washington Gold,25kg/bag,NO SRP,930,945,-1.59%,-15,930,,,
Hard Flour,WELLINGTON  ,Wellington,25kg/bag,NO SRP,1000,990,1.01%,10,1000,,,
Hard Flour,WOODEN SPOON  (ALL-PURPOSE),Wooden Spoon,25kg/bag,NO SRP,,1500,,,,,,
Soft Flour,AJUMA  ,Ajuma,25kg/bag,NO SRP,,730,,,,,,
Soft Flour,AMIGO GOLD (PLASTIC) ,Amigo Gold,25kg/bag,NO SRP,,930,,,,,,
Soft Flour,ATLANTIC GRAINS BANAHAW ,Banahaw,25kg/bag,NO SRP,,,,,,,,
Soft Flour,BABY PANDA ,Baby Panda,25kg/bag,NO SRP,,,,,,,,
Soft Flour,BAYANI ,Bayani,25kg/bag,NO SRP,,,,,,,,
Soft Flour,CAMEL  ,Camel,25kg/bag,NO SRP,,,,,,,,
Soft Flour,CATTKETA  ,Cattketa,25kg/bag,NO SRP,,,,,,,,
Soft Flour,CATTLEYA  ,Cattleya,25kg/bag,NO SRP,860,890,-3.37%,-30,860,,,
Soft Flour,CINDERELLA (COTTON) ,Cinderella (Cotton),25kg/bag,NO SRP,,,,,,,,
Soft Flour,COUNTESS  ,Countess,25kg/bag,NO SRP,,,,,,,,
Soft Flour,DALFIN ,Dalfin,25kg/bag,NO SRP,,,,,,,,
Soft Flour,DOLPHIN (TURKEY)  ,Dolphin (Turkey),25kg/bag,NO SRP,,,,,,,,
Soft Flour,DRAGON FISH  ,Dragon Fish,25kg/bag,NO SRP,,,,,,,,
Soft Flour,EAGLE   ,Eagle,25kg/bag,NO SRP,,850,,,,,,
Soft Flour,FILIPINA ,Filipina,25kg/bag,NO SRP,,,,,,,,
Soft Flour,GITARA,Gitara,25kg/bag,NO SRP,,,,,,,,
Soft Flour,GOLD KEY (PLASTIC) ,Gold Key (plastic),25kg/bag,NO SRP,980,950,3.16%,30,980,,,
Soft Flour,GOLD STAR ,Gold Star,25kg/bag,NO SRP,,,,,,,,
Soft Flour,GREEN LIANJUAN  ,Green Lianjuan,25kg/bag,NO SRP,,,,,,,,
Soft Flour,ILANG-ILANG ,Ilang-ilang,25kg/bag,NO SRP,,,,,,,,
Soft Flour,ISLA ,Isla,25kg/bag,NO SRP,,,,,,,,
Soft Flour,ISLAND  ,Island,25kg/bag,NO SRP,,,,,,,,
Soft Flour,LAHARINA SUPERIOR ,Laharina Superior,25kg/bag,NO SRP,,,,,,,,
Soft Flour,LIGER ,Liger,25kg/bag,NO SRP,,,,,,,,
Soft Flour,MANGO ,Mango,25kg/bag,NO SRP,,,,,,,,
Soft Flour,MAYON ,Mayon,25kg/bag,NO SRP,,,,,,,,
Soft Flour,MEGA STAR ,Mega Star,25kg/bag,NO SRP,,,,,,,,
Soft Flour,PANADERO ,Panadero,25kg/bag,NO SRP,,,,,,,,
Soft Flour,PANDA  ,Panda,25kg/bag,NO SRP,,,,,,,,
Soft Flour,PENGUIN ,Penguin,25kg/bag,NO SRP,760,,,,760,,,
Soft Flour,PINE TREE ,Pine Tree,25kg/bag,NO SRP,,,,,,,,
Soft Flour,QUEEN  ,Queen,25kg/bag,NO SRP,,,,,,,,
Soft Flour,RABBIT ,Rabbit,25kg/bag,NO SRP,,,,,,,,
Soft Flour,RAINDBOW ,Raindbow,25kg/bag,NO SRP,,,,,,,,
Soft Flour,RED DRAGON ,Red Dragon,25kg/bag,NO SRP,,890,,,,,,
Soft Flour,ROYAL ,Royal,25kg/bag,NO SRP,,,,,,,,
Soft Flour,SAMPAGUITA ,Sampaguita,25kg/bag,NO SRP,,,,,,,,
Soft Flour,SAN DAN  ,San Dan,25kg/bag,NO SRP,,,,,,,,
Soft Flour,SENORITA ,Senorita,25kg/bag,NO SRP,,,,,,,,
Soft Flour,SNOW WHITE ,Snow White,25kg/bag,NO SRP,,,,,,,,
Soft Flour,STARLITE  ,Starlite,25kg/bag,NO SRP,,,,,,,,
Soft Flour,SUNRISE  ,Sunrise,25kg/bag,NO SRP,,,,,,,,
Soft Flour,SUPREMO ,Supremo,25kg/bag,NO SRP,,,,,,,,
Soft Flour,UNI (CHINA) ,Uni (China),25kg/bag,NO SRP,,,,,,,,
Soft Flour,VINTA ,Vinta,25kg/bag,NO SRP,,,,,,,,
Soft Flour,WHITE BEAR   (TURKEY)  ,White Bear,25kg/bag,NO SRP,,,,,,,,
Soft Flour,WHITE PIGEON ,White Pigeon,25kg/bag,NO SRP,,730,,,,,,
Soft Flour,WHITE ROSE ,White Rose,25kg/bag,NO SRP,,,,,,,,
Soft Flour,ZEBRA  ,Zebra,25kg/bag,NO SRP,,,,,,,,
